# emapper version: emapper-1.0.3 emapper DB: 4.5.1-RA	
# command: ./emapper.py  -i ../Amillepora.proteins.fa --output Amillepora_euk -d euk --usemem --cpu 60-RA	
# time: Tue Oct  2 21:05:37 2018-RA	
#query_name-RA	eggNOG annot
Amillepora13185-RA	Adp-ribosylation factor-like
Amillepora13191-RA	PotAssium voltage-gated channel
Amillepora13190-RA	adenosine deaminase
Amillepora13192-RA	EF-hand calcium binding domain
Amillepora13198-RA	nose resistant to fluoxetine protein 6-like
Amillepora13193-RA	TOLL-like receptor
Amillepora13196-RA	toll-like receptor
Amillepora13201-RA	TOLL-like receptor
Amillepora13199-RA	nose resistant to fluoxetine protein 6-like
Amillepora13215-RA	potassium voltage-gated channel shaker-related subfamily member
Amillepora13212-RA	kinesin family member C1
Amillepora13209-RA	DeAcetylase
Amillepora13216-RA	Ankyrin Repeat Protein
Amillepora13208-RA	Formin binding protein 4
Amillepora13210-RA	YqaJ-like viral recombinase domain
Amillepora13227-RA	whole genome shotgun sequence
Amillepora13225-RA	cysteinyl-tRNA synthetase
Amillepora13223-RA	transmembrane protein 41A
Amillepora13217-RA	Small nuclear ribonucleoprotein
Amillepora13221-RA	cysteinyl-tRNA synthetase
Amillepora13228-RA	Zinc finger protein
Amillepora13233-RA	kiaa0528
Amillepora13234-RA	Feline leukemia virus subgroup C cellular receptor
Amillepora13229-RA	whole genome shotgun sequence
Amillepora13232-RA	cleavage and polyadenylation specific factor
Amillepora13231-RA	tripartite motif containing 71, E3 ubiquitin protein ligase
Amillepora13238-RA	cytochrome b5 reductase
Amillepora13240-RA	Metallopeptidase M20 family
Amillepora13242-RA	Metallopeptidase M20 family
Amillepora13244-RA	Low density lipoprotein receptor-related protein
Amillepora13237-RA	Myotrophin
Amillepora13246-RA	rRNA processing
Amillepora13250-RA	Notch ligand involved in the mediation of Notch signaling (By similarity)
Amillepora13255-RA	Notch ligand involved in the mediation of Notch signaling (By similarity)
Amillepora13251-RA	Notch ligand involved in the mediation of Notch signaling (By similarity)
Amillepora13263-RA	fatty acyl-CoA reductase
Amillepora13269-RA	BTB POZ domain containing
Amillepora13259-RA	transcription factor
Amillepora13257-RA	CAMK family protein kinase
Amillepora13261-RA	MOB kinase activator
Amillepora13268-RA	Putative cyclase
Amillepora13270-RA	Putative cyclase
Amillepora13278-RA	Feline leukemia virus subgroup C cellular receptor
Amillepora13277-RA	Feline leukemia virus subgroup C cellular receptor
Amillepora13275-RA	open reading frame
Amillepora13276-RA	Cytoskeleton associated protein 5
Amillepora13287-RA	Neuronal PAS domain protein 2
Amillepora13284-RA	Kinesin family
Amillepora13288-RA	branched-chain-amino-acid aminotransferase
Amillepora13289-RA	ubiquitin-conjugating enzyme
Amillepora13293-RA	whole genome shotgun sequence
Amillepora13295-RA	kiaa0930
Amillepora13294-RA	GRIP and coiled-coil domain containing 1
Amillepora13296-RA	Protein Tyrosine Phosphatase
Amillepora13298-RA	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor
Amillepora13299-RA	Serum amyloid A-like 1
Amillepora13306-RA	Pao retrotransposon peptidase 
Amillepora13300-RA	SET binding factor
Amillepora13321-RA	autophagy related 13
Amillepora13316-RA	apoptosis inhibitor
Amillepora13326-RA	Chromosome 6 open reading frame 108
Amillepora13322-RA	Adaptor-related protein complex 2, alpha
Amillepora13324-RA	Zinc binding alcohol dehydrogenase, domain containing 2
Amillepora13334-RA	creatine kinase
Amillepora13339-RA	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase
Amillepora13335-RA	SET domain bifurcated
Amillepora13340-RA	leucine rich repeat containing
Amillepora13344-RA	Growth factor receptor
Amillepora13346-RA	fibroblast growth factor receptor
Amillepora13355-RA	Growth factor receptor
Amillepora13359-RA	protein Hydra magnipapillata
Amillepora13365-RA	PIH1 domain containing
Amillepora13372-RA	transmembrane protein 117
Amillepora13371-RA	N-acetyltransferase 10
Amillepora13367-RA	Chromosome 11 open reading frame 49
Amillepora13369-RA	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)
Amillepora13373-RA	calmodulin
Amillepora13441-RA	solute carrier family 9, subfamily C (Na -transporting carboxylic acid decarboxylase), member 1
Amillepora13374-RA	calmodulin
Amillepora13375-RA	solute carrier family 9, subfamily C (Na -transporting carboxylic acid decarboxylase), member 1
Amillepora13447-RA	EF-hand calcium binding domain
Amillepora13449-RA	Ring finger protein
Amillepora13445-RA	Ankyrin repeat and sterile alpha motif domain containing
Amillepora13446-RA	EF-hand calcium binding domain
Amillepora13451-RA	Rho guanine nucleotide exchange factor (GEF) 39
Amillepora13455-RA	Nuclear receptor subfamily 4, group A, member
Amillepora13456-RA	Tetratricopeptide repeat
Amillepora13453-RA	RINGv
Amillepora13458-RA	Tetratricopeptide repeat
Amillepora13461-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora13463-RA	Tetratricopeptide repeat
Amillepora13460-RA	Tetratricopeptide repeat
Amillepora13466-RA	Tetratricopeptide repeat
Amillepora13468-RA	Inherit from KOG: Growth factor receptor
Amillepora13471-RA	chromosome 9 open reading frame 114
Amillepora13479-RA	glycosyltransferase 25 domain containing
Amillepora13482-RA	solute carrier family 16, member 10 (aromatic amino acid transporter)
Amillepora13481-RA	Interacts with a second catalytic subunit to form an active queuine tRNA-ribosyltransferase. This enzyme exchanges queuine for the guanine at the wobble position of tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr), thereby forming the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)
Amillepora13470-RA	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex
Amillepora13476-RA	GLI pathogenesis-related 2
Amillepora13472-RA	wd repeat
Amillepora13484-RA	solute carrier family 16, member
Amillepora13485-RA	Deafness, autosomal recessive 31
Amillepora13493-RA	Ring finger protein
Amillepora13490-RA	RING finger protein 213
Amillepora13502-RA	O-fucosyltransferase 1
Amillepora13500-RA	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides. Acts as a regulatory subunit for PP2A-like phosphatases modulating their activity or substrate specificity, probably by inducing a conformational change in the catalytic subunit, a direct target of the PPIase. Can reactivate inactive phosphatase PP2A-phosphatase methylesterase complexes (PP2Ai) in presence of ATP and Mg(2 ) by dissociating the inactive form from the complex (By similarity)
Amillepora13497-RA	Ring finger protein
Amillepora13504-RA	Pao retrotransposon peptidase 
Amillepora13511-RA	reverse transcriptase family protein
Amillepora13513-RA	Inherit from KOG: Growth factor receptor
Amillepora13518-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora13519-RA	Inherit from euNOG: solute carrier family 17
Amillepora13525-RA	Ctr9, Paf1 RNA polymerase II complex component, homolog (S. cerevisiae)
Amillepora13527-RA	solute carrier family 4
Amillepora13526-RA	Transmembrane protein 86A
Amillepora13524-RA	Protein disulfide isomerase
Amillepora13530-RA	chondroitin sulfate
Amillepora13537-RA	Protein of unknown function (DUF1759)
Amillepora13533-RA	Zona pellucida-like domain
Amillepora13539-RA	integrase core domain protein
Amillepora13542-RA	importin
Amillepora13547-RA	elongation of very long chain fatty acids protein
Amillepora13549-RA	elongation of very long chain fatty acids protein
Amillepora13548-RA	elongation of very long chain fatty acids protein
Amillepora13546-RA	elongation of very long chain fatty acids protein
Amillepora13551-RA	elongation of very long chain fatty acids protein
Amillepora13554-RA	Ets domain transcription factor
Amillepora13559-RA	golgi transport
Amillepora13564-RA	RNA-directed DNA polymerase from mobile element jockey-like
Amillepora13562-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora13558-RA	Autophagy beclin-1 regulator 1
Amillepora13569-RA	Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly (By similarity)
Amillepora13570-RA	bromodomain adjacent to zinc finger domain
Amillepora13582-RA	Pao retrotransposon peptidase 
Amillepora13581-RA	Pao retrotransposon peptidase 
Amillepora13577-RA	ankyrin-repeat and fibronectin type III domain containing 1
Amillepora13573-RA	ankyrin-repeat and fibronectin type III domain containing 1
Amillepora13575-RA	ankyrin-repeat and fibronectin type III domain containing 1
Amillepora13580-RA	Pao retrotransposon peptidase 
Amillepora13572-RA	tumor protein p53 inducible protein 11
Amillepora13584-RA	Pao retrotransposon peptidase 
Amillepora13578-RA	ankyrin-repeat and fibronectin type III domain containing 1
Amillepora13591-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora13598-RA	to F57G4.9 Hydra magnipapillata 
Amillepora13603-RA	Pao retrotransposon peptidase 
Amillepora13602-RA	Pao retrotransposon peptidase 
Amillepora13607-RA	Herpesvirus alkaline exonuclease
Amillepora13616-RA	Integrase core domain
Amillepora13618-RA	pogo transposable element with KRAB domain
Amillepora13629-RA	tripartite motif containing 71, E3 ubiquitin protein ligase
Amillepora13626-RA	Immature colon carcinoma transcript 1
Amillepora13624-RA	Polymerase (RNA) III (DNA directed) polypeptide E
Amillepora13622-RA	Polymerase (RNA) III (DNA directed) polypeptide E
Amillepora13633-RA	cytochrome C oxidase
Amillepora13640-RA	Inherit from KOG: Growth factor receptor
Amillepora13634-RA	ankyrin repeat domain 63
Amillepora13631-RA	Leukocyte receptor cluster (LRC) member 8
Amillepora13647-RA	chromosome transmission fidelity
Amillepora13642-RA	Inherit from euNOG: solute carrier family 17
Amillepora13643-RA	to Pao retrotransposon peptidase family protein Hydra magnipapillata
Amillepora13651-RA	to F57G4.9 Hydra magnipapillata
Amillepora13665-RA	Inherit from KOG: transposon protein
Amillepora13659-RA	MULE transposase domain
Amillepora13652-RA	PA14 domain
Amillepora13679-RA	Zinc finger protein 862
Amillepora13672-RA	protein Hydra magnipapillata
Amillepora13676-RA	Inherit from euNOG: solute carrier family 17
Amillepora13678-RA	Zinc finger protein 862
Amillepora13675-RA	Inherit from euNOG: solute carrier family 17
Amillepora13670-RA	Inherit from KOG: transposon protein
Amillepora13677-RA	Inherit from euNOG: solute carrier family 17
Amillepora13693-RA	Inherit from opiNOG: Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora13694-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora13687-RA	THAP domain containing 10
Amillepora13685-RA	Inherit from KOG: DNA helicase
Amillepora13682-RA	Herpesvirus alkaline exonuclease
Amillepora13688-RA	Inherit from KOG: DNA helicase
Amillepora13702-RA	protein Hydra magnipapillata
Amillepora13700-RA	Inherit from euNOG: solute carrier family 17
Amillepora13699-RA	Pao retrotransposon peptidase 
Amillepora13696-RA	to F57G4.9 Hydra magnipapillata 
Amillepora13703-RA	protein Hydra magnipapillata
Amillepora13708-RA	excision repair cross-complementing rodent repair deficiency complementation group
Amillepora13710-RA	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in chloroplasts and mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho- Glu-tRNA(Gln) (By similarity)
Amillepora13709-RA	Histone H2A
Amillepora13712-RA	K02157 axin 1
Amillepora13713-RA	alveolar soft part sarcoma chromosome region, candidate 1
Amillepora13715-RA	Zinc finger, FYVE domain containing
Amillepora13726-RA	Inherit from KOG: Retrotransposon protein
Amillepora13723-RA	Inherit from NOG: Hermansky-Pudlak syndrome 6
Amillepora13721-RA	Solute carrier family 26 member 11
Amillepora13722-RA	Required for the retention of luminal endoplasmic reticulum proteins. Determines the specificity of the luminal ER protein retention system. Also required for normal vesicular traffic through the Golgi
Amillepora13719-RA	Solute carrier family 26 member 11
Amillepora13727-RA	Caspase recruitment domain family, member 11
Amillepora13717-RA	SEC14-like 1 (S. cerevisiae)
Amillepora13724-RA	Caspase recruitment domain family, member 11
Amillepora13733-RA	excision repair cross-complementing rodent repair deficiency complementation group
Amillepora13732-RA	Ankyrin Repeat Protein
Amillepora13735-RA	WD repeat domain 85
Amillepora13738-RA	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora13736-RA	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora13747-RA	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora13741-RA	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora13749-RA	pyroglutamylated RFamide peptide receptor
Amillepora13754-RA	to F57G4.9 Hydra magnipapillata
Amillepora13753-RA	Histone H2A
Amillepora13751-RA	cytokine receptor-like factor 3
Amillepora13750-RA	BUD31 homolog
Amillepora13755-RA	ecdysoneless homolog (Drosophila)
Amillepora13759-RA	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene
Amillepora13757-RA	ecdysoneless homolog (Drosophila)
Amillepora13765-RA	Glycosyl hydrolase family 1
Amillepora13764-RA	beta-glucosidase
Amillepora13762-RA	beta-glucosidase
Amillepora13763-RA	beta-glucosidase
Amillepora13768-RA	Formiminotransferase domain, N-terminal subdomain
Amillepora13767-RA	Leucine Rich Repeat
Amillepora13769-RA	K13150 coilin
Amillepora13776-RA	Histone deacetylase
Amillepora13770-RA	ZnF_C3H1
Amillepora13772-RA	Rhomboid 5 homolog
Amillepora13774-RA	ADP-ribosylation factor
Amillepora13775-RA	ADP-ribosylation factor
Amillepora13773-RA	Histone deacetylase
Amillepora13777-RA	Rhomboid 5 homolog
Amillepora13782-RA	Formiminotransferase domain, N-terminal subdomain
Amillepora13787-RA	beta-glucosidase
Amillepora13788-RA	beta-glucosidase
Amillepora13783-RA	Leucine Rich Repeat
Amillepora13785-RA	Glycosyl hydrolase family 1
Amillepora13781-RA	K13150 coilin
Amillepora13779-RA	ZnF_C3H1
Amillepora13795-RA	cytokine receptor-like factor 3
Amillepora13791-RA	ecdysoneless homolog (Drosophila)
Amillepora13796-RA	BUD31 homolog
Amillepora13797-RA	pyroglutamylated RFamide peptide receptor
Amillepora13793-RA	Histone H2A
Amillepora13811-RA	Inherit from KOG: leucine rich repeat containing
Amillepora13806-RA	Inherit from euNOG: solute carrier family 17
Amillepora13799-RA	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora13809-RA	Inherit from euNOG: Retrotransposon protein
Amillepora13801-RA	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora13802-RA	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora13807-RA	Pao retrotransposon peptidase 
Amillepora13808-RA	Pao retrotransposon peptidase 
Amillepora13819-RA	NLR family, CARD domain containing 5
Amillepora13815-RA	MYCBP AMY-1-associated, testis expressed 1
Amillepora13820-RA	Inherit from KOG: leucine rich repeat containing
Amillepora13817-RA	tigger transposable element derived 6
Amillepora13823-RA	tigger transposable element derived 6
Amillepora13831-RA	centrosomal protein 112kDa
Amillepora13835-RA	fatty acid synthase
Amillepora13836-RA	centrosomal protein 95kDa
Amillepora13838-RA	Integrase core domain
Amillepora13845-RA	Inherit from KOG: transposon protein
Amillepora13839-RA	to conserved
Amillepora13844-RA	Inherit from KOG: Growth factor receptor
Amillepora13843-RA	THAP domain containing 10
Amillepora13862-RA	Inherit from euNOG: solute carrier family 17
Amillepora13859-RA	Inherit from KOG: Growth factor receptor
Amillepora13856-RA	Inherit from KOG: Growth factor receptor
Amillepora13851-RA	Inherit from euNOG: solute carrier family 17
Amillepora13854-RA	integrase core domain protein
Amillepora13858-RA	Inherit from KOG: Growth factor receptor
Amillepora13880-RA	Inherit from euNOG: Retrotransposon protein
Amillepora13878-RA	Hydra magnipapillata
Amillepora13879-RA	tetratricopeptide repeat protein, tpr
Amillepora13873-RA	Hydra magnipapillata
Amillepora13871-RA	Inherit from KOG: DNA helicase
Amillepora13881-RA	Pao retrotransposon peptidase 
Amillepora13882-RA	Pao retrotransposon peptidase 
Amillepora13899-RA	to transposase domain-containing protein
Amillepora13902-RA	Inherit from euNOG: Retrotransposon protein
Amillepora13912-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora13910-RA	Inherit from euNOG: Retrotransposon protein
Amillepora13909-RA	Pao retrotransposon peptidase 
Amillepora13925-RA	Inherit from KOG: DNA helicase
Amillepora13921-RA	to transposase domain-containing protein
Amillepora13938-RA	Histone H2A
Amillepora13941-RA	casein kinase 1
Amillepora13940-RA	ring finger protein 151
Amillepora13942-RA	Solute carrier family 8 sodium calcium exchanger member
Amillepora13946-RA	Inherit from KOG: transposon protein
Amillepora13943-RA	sulfhydryl oxidase
Amillepora13953-RA	serine threonine-protein phosphatase
Amillepora13959-RA	Aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
Amillepora13956-RA	diacylglycerol kinase
Amillepora13955-RA	Meteorin, glial cell differentiation regulator
Amillepora13958-RA	Phosphoribosyl pyrophosphate synthetase-associated protein
Amillepora13963-RA	Chromosome 16 open reading frame 62
Amillepora13960-RA	protein phosphatase 1, regulatory subunit
Amillepora13985-RA	Otoancorin
Amillepora13987-RA	DNA helicase
Amillepora13986-RA	TBC1 domain family member
Amillepora13990-RA	RecQ protein-like (DNA helicase Q1-like)
Amillepora13989-RA	DNA helicase
Amillepora13995-RA	astacin-like metalloendopeptidase (M12 family)
Amillepora13997-RA	Inherit from NOG: Arrestin domain containing
Amillepora14000-RA	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora13998-RA	Era (G-protein)-like 1 (E. coli)
Amillepora13996-RA	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora14007-RA	glutathione Stransferase
Amillepora14001-RA	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora14002-RA	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora14004-RA	retinol dehydrogenase
Amillepora14003-RA	retinol dehydrogenase
Amillepora14015-RA	BTB And C-terminal Kelch
Amillepora14016-RA	Inherit from NOG: ATPase family, AAA domain containing 5
Amillepora14009-RA	proprotein convertase subtilisin kexin type
Amillepora14028-RA	ribonuclease P MRP 21kDa subunit
Amillepora14026-RA	Vacuolar fusion protein CCZ1 homolog
Amillepora14024-RA	Family with sequence similarity 100, member B
Amillepora14018-RA	ERI1 exoribonuclease family member
Amillepora14027-RA	Converts protoheme IX and farnesyl diphosphate to heme O (By similarity)
Amillepora14029-RA	Coiled-coil domain containing 154
Amillepora14025-RA	exocyst complex
Amillepora14031-RA	Spermatogenesis associated 20
Amillepora14036-RA	UNC homeobox
Amillepora14037-RA	UNC homeobox
Amillepora14039-RA	adenylosuccinate lyase
Amillepora14032-RA	CCR4-NOT transcription complex, subunit 3
Amillepora14042-RA	calmodulin
Amillepora14040-RA	calmodulin
Amillepora14049-RA	integrase core domain protein
Amillepora14048-RA	to Pao retrotransposon peptidase family protein Hydra magnipapillata
Amillepora14062-RA	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)
Amillepora14052-RA	chromosome 7 open reading frame 26
Amillepora14058-RA	S. cerevisiae
Amillepora14053-RA	Solute carrier family 24 (Sodium potassium calcium exchanger), member
Amillepora14054-RA	Solute carrier family 24 (Sodium potassium calcium exchanger), member
Amillepora14057-RA	Solute carrier family 24 (Sodium potassium calcium exchanger), member
Amillepora14056-RA	Solute carrier family 24 (Sodium potassium calcium exchanger), member
Amillepora14055-RA	Solute carrier family 24 (Sodium potassium calcium exchanger), member
Amillepora14059-RA	Protein of unknown function (DUF229)
Amillepora14070-RA	asteroid homolog 1 (Drosophila)
Amillepora14064-RA	transmembrane protein 220
Amillepora14065-RA	aconitate hydratase
Amillepora14068-RA	exportin
Amillepora14072-RA	asteroid homolog 1 (Drosophila)
Amillepora14074-RA	asteroid homolog 1 (Drosophila)
Amillepora14071-RA	MTOR associated protein, LST8 homolog (S. cerevisiae)
Amillepora14078-RA	Inherit from euNOG: solute carrier family 17
Amillepora14079-RA	asteroid homolog 1 (Drosophila)
Amillepora14081-RA	asteroid homolog 1 (Drosophila)
Amillepora14082-RA	asteroid homolog 1 (Drosophila)
Amillepora14089-RA	Ligand-gated ion channel
Amillepora14086-RA	Josephin domain containing
Amillepora14083-RA	Ankyrin repeat and sterile alpha motif domain containing
Amillepora14085-RA	Kinesin family
Amillepora14094-RA	Estrogen-related receptor
Amillepora14092-RA	Kunitz/Bovine pancreatic trypsin inhibitor domain
Amillepora14095-RA	essential meiotic endonuclease 1 homolog 1 (S. pombe)
Amillepora14091-RA	Septin 3
Amillepora14101-RA	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 10
Amillepora14099-RA	Calcium channel, voltage-dependent, T type, alpha
Amillepora14098-RA	cop9 signalosome complex subunit
Amillepora14097-RA	fucosidase, alpha-L
Amillepora14105-RA	pyroglutamylated RFamide peptide receptor
Amillepora14104-RA	DUF895 domain membrane protein
Amillepora14103-RA	Brain protein I3
Amillepora14102-RA	BAI1-associated protein 2
Amillepora14109-RA	pyroglutamylated RFamide peptide receptor
Amillepora14108-RA	pyroglutamylated RFamide peptide receptor
Amillepora14107-RA	pyroglutamylated RFamide peptide receptor
Amillepora14112-RA	Glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein
Amillepora14110-RA	Cofactor D
Amillepora14114-RA	Glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein
Amillepora14111-RA	Dishevelled associated activator of morphogenesis
Amillepora14118-RA	Inherit from KOG: transposon protein
Amillepora14115-RA	alanine--glyoxylate aminotransferase 2
Amillepora14116-RA	Ribonuclease that specifically degrades pre-mRNAs with a defective 5' end cap and is part of a pre-mRNA capping quality control. Has decapping and pyrophosphohydrolase activities. Has decapping activity toward incomplete 5' end cap mRNAs such as unmethylated 5' end-capped RNA to release GpppN and 5' end monophosphate RNA. Also possesses RNA 5'-pyrophosphohydrolase activity by hydrolyzing the 5' end triphosphate to release pyrophosphates
Amillepora14126-RA	Anoctamin
Amillepora14125-RA	Anoctamin
Amillepora14128-RA	Anoctamin
Amillepora14120-RA	src kinase associated phosphoprotein 2
Amillepora14127-RA	Anoctamin
Amillepora14122-RA	Pentatricopeptide repeat-containing protein
Amillepora14133-RA	acid-sensing (proton-gated) ion channel
Amillepora14131-RA	or apyrimidinic site) lyase
Amillepora14136-RA	Membrane bound O-acyltransferase domain containing 7
Amillepora14140-RA	actin-related protein
Amillepora14134-RA	Calcium channel, voltage-dependent, T type, alpha
Amillepora14135-RA	Calcium channel, voltage-dependent, T type, alpha
Amillepora14147-RA	sphingosine kinase
Amillepora14150-RA	interconversion of serine and glycine (By similarity)
Amillepora14152-RA	YqaJ-like viral recombinase domain
Amillepora14148-RA	alkylglycerone phosphate synthase
Amillepora14153-RA	Nyctalopin
Amillepora14157-RA	Charged multivesicular body protein
Amillepora14155-RA	SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)
Amillepora14162-RA	Ankyrin repeat domain-containing protein
Amillepora14163-RA	Chromosome 7 open reading frame 50
Amillepora14161-RA	Lethal giant larvae homolog
Amillepora14159-RA	Chromosome 17 open reading frame 75
Amillepora14158-RA	Schlafen family member
Amillepora14160-RA	tRNA-histidine guanylyltransferase 1-like (S. cerevisiae)
Amillepora14167-RA	Inherit from euNOG: apoptosis-related cysteine peptidase
Amillepora14179-RA	cytochrome c oxidase assembly
Amillepora14175-RA	phosphatidylinositol transfer protein
Amillepora14170-RA	sorting nexin
Amillepora14178-RA	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Amillepora14165-RA	protein kinase, cAMP-dependent, regulatory, type
Amillepora14164-RA	protein kinase, cAMP-dependent, regulatory, type
Amillepora14176-RA	LYR motif containing 1
Amillepora14174-RA	PHD finger protein 5A
Amillepora14177-RA	Hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr). Could be a defense mechanism against a harmful effect of D-tyrosine (By similarity)
Amillepora14168-RA	2,4-dienoyl CoA reductase 2, peroxisomal
Amillepora14166-RA	Short chain dehydrogenase reductase family 42E, member 1
Amillepora14173-RA	RAB11 family interacting protein
Amillepora14180-RA	BTB POZ domain containing
Amillepora14186-RA	BTB POZ domain containing
Amillepora14183-RA	BTB POZ domain containing
Amillepora14181-RA	BTB POZ domain containing
Amillepora14182-RA	BTB POZ domain containing
Amillepora14185-RA	BTB POZ domain containing
Amillepora14200-RA	Enoyl-CoA hydratase
Amillepora14188-RA	BTB POZ domain containing
Amillepora14187-RA	BTB POZ domain containing
Amillepora14199-RA	Nitric oxide synthase interacting protein
Amillepora14197-RA	Transient receptor potential cation channel subfamily A member
Amillepora14198-RA	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 10
Amillepora14201-RA	Enoyl-CoA hydratase
Amillepora14202-RA	golgi-associated, gamma adaptin ear containing, ARF binding protein
Amillepora14208-RA	FA58C
Amillepora14203-RA	ribosomal RNA processing 7 homolog A (S. cerevisiae)
Amillepora14209-RA	FA58C
Amillepora14216-RA	FA58C
Amillepora14212-RA	FA58C
Amillepora14213-RA	FA58C
Amillepora14220-RA	Fibrinogen beta and gamma chains, C-terminal globular domain
Amillepora14221-RA	Fibrinogen beta and gamma chains, C-terminal globular domain
Amillepora14232-RA	nitrogen permease regulator-like 3 (S. cerevisiae)
Amillepora14225-RA	Fibrinogen beta and gamma chains, C-terminal globular domain
Amillepora14228-RA	Fibrinogen beta and gamma chains, C-terminal globular domain
Amillepora14226-RA	Fibrinogen beta and gamma chains, C-terminal globular domain
Amillepora14229-RA	Fibrinogen beta and gamma chains, C-terminal globular domain
Amillepora14227-RA	Fibrinogen beta and gamma chains, C-terminal globular domain
Amillepora14234-RA	zinc finger protein 207
Amillepora14230-RA	Fibrinogen beta and gamma chains, C-terminal globular domain
Amillepora14238-RA	Gamma-glutamyl hydrolase
Amillepora14240-RA	Gamma-glutamyl hydrolase
Amillepora14237-RA	ubiquinone biosynthesis protein Coq7
Amillepora14242-RA	DEAH (Asp-Glu-Ala-His) box polypeptide 40
Amillepora14243-RA	integrator complex subunit
Amillepora14245-RA	Netrin 1
Amillepora14246-RA	Guanylate cyclase
Amillepora14247-RA	Receptor family ligand binding region
Amillepora14248-RA	Guanylate cyclase
Amillepora14249-RA	Guanylate cyclase
Amillepora14255-RA	Netrin 1
Amillepora14254-RA	Guanylate cyclase
Amillepora14252-RA	Guanylate cyclase
Amillepora14256-RA	Zinc finger, C3HC4 type (RING finger)
Amillepora14263-RA	Mitochondrial
Amillepora14258-RA	serine arginine-rich splicing factor
Amillepora14264-RA	UTP6, small subunit (SSU) processome component, homolog (yeast)
Amillepora14259-RA	Late endosomal lysosomal adaptor, MAPK and MTOR activator 2
Amillepora14260-RA	rho GTPase activating protein
Amillepora14262-RA	K04658 noggin
Amillepora14267-RA	polycystic kidney disease 1-like 2
Amillepora14266-RA	polycystic kidney disease 1-like 2
Amillepora14265-RA	polycystic kidney disease 1-like 2
Amillepora14279-RA	polycystic kidney disease 1-like 2
Amillepora14274-RA	polycystic kidney disease 1-like 2
Amillepora14270-RA	polycystic kidney disease 1-like 2
Amillepora14276-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora14272-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora14271-RA	Inherit from euNOG: Retrotransposon protein
Amillepora14275-RA	Polycystic kidney disease
Amillepora14281-RA	polycystic kidney disease 1-like 2
Amillepora14283-RA	polycystic kidney disease 1-like 2
Amillepora14285-RA	polycystic kidney disease 1-like 2
Amillepora14287-RA	polycystic kidney disease 1-like 2
Amillepora14284-RA	polycystic kidney disease 1-like 2
Amillepora14298-RA	Protein disulfide isomerase
